,Chao1 kmers ITS,Chao1 OTUs ITS,Chao1 ASVs ITS,16S_id,Chao1 kmers,Chao1 OTUs,Chao1 ASVs,identifier,row,column,temperature,day,replicate,well,DNA yield,DNA_total_yield_per_1g,pH,TTA,estimate_bact,estimate_bact_CFUs,LAB CFUs,LAB_counts,bac_diff,yeast CFUs,mannitol,glucose,fructose,sucrose,maltose,succinic acid,lactic acid,acetic acid,ethanol,Observed features ASVs,Observed features OTUs,Observed features kmers,Shannon ASVs,Evenness ASVs,Simpson ASVs,Shannon OTUs,Evenness OTUs,Simpson OTUs,Shannon kmers,Evenness kmers,Simpson kmers,color,color2,Observed features ASVs ITS,Observed features OTUs ITS,Observed features kmers ITS,Shannon ASVs ITS,Evenness ASVs ITS,Simpson ASVs ITS,Shannon OTUs ITS,Evenness OTUs ITS,Simpson OTUs ITS,Shannon kmers ITS,Evenness kmers ITS,Simpson kmers ITS
366292_209-LP4-ITS-0709,747,2,4,366294_209-LP4-16S-0709,678,5,4,W00.00.00,E,5,20,0,0,E05,7.819449435,5212.964986,3.71,8.41,1.46E+13,13.16330154,9.2862,1932858226,3.877101544,6.95664,0.864598779,0.412388771,0.040404422,0,4.793423904,5.862572552,61.38363653,18.55172414,196.4527147,4,5,678,0.254628304,0.127314152,0.066791515,0.372545521,0.160446623,0.096606648,8.098100765,0.861029129,0.996015836,#000000,#000000,4,2,747,1.023699522,0.511849761,0.38777508,0.30104877,0.30104877,0.101260904,8.420115655,0.882152649,0.996797225
366292_121-LP4-ITS-0621,1052,4,6,366294_121-LP4-16S-0621,244,1,1,W30.02.28,E,6,30,28,2,E06,0.141937297,94.62486433,3.98,20.78,7.72E+11,11.88782708,8.06812549,116983736.8,3.819701594,4.07553,,,,,,,,,,1,1,244,0,0,0,0,0,0,7.918076414,0.998403563,0.995840377,#751c6d,#751c6d,6,4,1052,0.97362813,0.376650775,0.377948582,0.220637372,0.110318686,0.056099986,8.340575189,0.830824036,0.996682149
366292_212-LP4-ITS-0712,1253,7.5,7,366294_212-LP4-16S-0712,718,5,6,W30.03.21,H,5,30,21,3,H05,7.45204728,4968.030278,4.03,15.81,5.87E+12,12.76852489,8.777287462,598807818.2,3.991237427,2.77815,0.649644727,0.271669784,0.071408873,0,0,7.603819509,22.24034412,147.542069,144.172235,6,5,718,0.655997624,0.253774522,0.195222812,0.685716358,0.295321961,0.212396122,8.366055313,0.881766059,0.996451796,#6c1a64,#751c6d,7,7,1253,0.813641727,0.289825031,0.337532665,0.091994591,0.032769135,0.017630374,8.253067956,0.801956181,0.996594272
366292_225-LP4-ITS-0725,1212,5,7,366294_225-LP4-16S-0725,708,6,5,W17.02.14,E,7,17,14,2,E07,8.872885701,5915.255655,3.66,24.31,7.88E+12,12.89667665,8.93044,852000795,3.966236651,5.83425,1.037305852,0.14155678,0.021891556,0,0.014754214,7.329713537,313.1302088,680.4331034,230.2555226,5,5,708,1.169789099,0.503800743,0.513240997,1.130149762,0.48672901,0.508102493,8.915470071,0.941681614,0.997759192,#d5a157,#fdc067,7,5,1212,0.800344104,0.285088322,0.338124778,0.0516001,0.022222953,0.009682593,8.229967865,0.80345876,0.996577753
366292_201-LP4-ITS-0701,1204,5,8,366294_201-LP4-16S-0701,708,5,5,W04.02.04,E,4,4,4,2,E04,34.97111893,23314.07346,3.64,10.01,1.39E+13,13.14146859,9.29376,1966799096,3.847708587,7.30103,1.326988284,0.178844671,0.002532177,0,0.15169667,7.509455158,124.6204857,27.42344828,343.8402801,5,5,708,1.006434775,0.433447865,0.373781163,1.006434775,0.433447865,0.373781163,8.514534606,0.899333476,0.996922717,#465870,#9ec8ff,8,5,1204,1.14451675,0.381505583,0.39008989,0.329954231,0.142103552,0.08307716,8.529650555,0.833493018,0.996862314
366292_217-LP4-ITS-0717,1204,5,8,366294_217-LP4-16S-0717,588,3,3,W04.02.01,E,6,4,1,2,E06,7.886102038,5257.400044,3.68,9.64,2.04E+13,13.31020671,10.1473,14037830687,3.162906715,7.32463,1.662475393,0.361471555,0.059189645,0.012902929,1.169467922,7.237595956,104.9359262,29.76551724,361.7054683,3,3,588,0.110566017,0.06975939,0.026024931,0.164390206,0.103718672,0.041385042,7.996929351,0.86926241,0.995870674,#202833,#9ec8ff,8,5,1204,1.139326871,0.379775624,0.414038111,0.249388945,0.107405973,0.058532023,8.480430844,0.828683409,0.996810354
366292_239-LP4-ITS-0739,1536,5,8.2,366294_239-LP4-16S-0739,708,5,5,W30.01.21,C,9,30,21,1,C09,0.688271155,458.8473218,3.72,14.53,1.33E+11,11.12491485,7.906549814,80639869.08,3.218365036,4.4663,1.419683322,0.255933833,0.081743689,0,0,6.60175997,117.818801,66.41655172,325.4447006,5,5,708,1.735281645,0.747345126,0.650204329,1.754188809,0.755487998,0.661634349,9.258897324,0.977955543,0.998273582,#6c1a64,#751c6d,8,5,1536,0.767786894,0.255928965,0.331337021,0.036299485,0.015633337,0.006276232,8.216055564,0.776200725,0.996566094
366292_247-LP4-ITS-0747,1306,11,11,366294_247-LP4-16S-0747,718,5,6,W30.02.14,C,10,30,14,2,C10,3.495158589,2330.105143,3.82,14.58,2.47E+11,11.39287626,7.880538667,75951904.27,3.512337594,4.52243,1.48442342,0.225809686,0.069840984,0,0,6.26249766,219.896048,76.15724138,409.0389237,6,5,718,1.468243207,0.567994007,0.534515235,1.479993538,0.637398523,0.544649508,9.105236007,0.959674275,0.997962386,#62185c,#751c6d,8,8,1306,0.796849678,0.265616559,0.340898385,0.067620156,0.022540052,0.011956245,8.221208178,0.794247559,0.996571573
366292_215-LP4-ITS-0715,1494,12,9,366294_215-LP4-16S-0715,708,5,5,W17.01.10,C,6,17,10,1,C06,5.322415322,3548.275994,3.69,17.38,2.14E+12,12.33104244,8.42619,266802564.7,3.904852436,5.14613,1.250506109,0.104202109,0.015332923,0,0.012665718,8.165512076,145.6635899,122.6565517,372.9140655,5,5,708,1.264697142,0.544675412,0.540789474,1.248222575,0.537580202,0.53466759,8.995822963,0.950168753,0.997900759,#c0924e,#fdc067,9,9,1494,0.823899265,0.25991128,0.342511347,0.070262667,0.022165404,0.012521633,8.242883108,0.781689038,0.996586089
366292_130-LP4-ITS-0630,1352,14.33333333,10,366294_130-LP4-16S-0630,708,5,5,W17.02.28,F,7,17,28,2,F07,5.455441525,3636.961016,3.75,24.63,1.92E+11,11.28425472,9.05917,1145961428,2.225084724,5.28483,,,,,,,,,,5,5,708,1.599480748,0.688858863,0.607437673,1.605405221,0.691410395,0.607506925,9.180647352,0.96969052,0.998147742,#fdc067,#fdc067,10,11,1352,0.862660574,0.259686709,0.347351122,0.155547232,0.044963234,0.032242389,8.269657101,0.795092103,0.996609999
